	1976	1976	1980	1980	1984	1984	1988	1988	1992	1992	1996	1996	2000	2000	2004	2004	2008	2008	2012	2012
	Democrat	Republican	Democrat	Republican	Democrat	Republican	Democrat	Republican	Democrat	Republican	Democrat	Republican	Democrat	Republican	Democrat	Republican	Democrat	Republican	Democrat	Republican
State																				
AL	659170	504070	636730	654192	551899	872849	549506	815576	690080	804283	662165	769044	692611	941173	693933	1176394	813479	1266546	795696	1255925
AK	44058	71555	41842	86112	62007	138377	72584	119251	78294	102000	80380	122746	79004	167398	111025	190889	123594	193841	122640	164676
AZ	295602	418642	246843	529688	333854	681416	454029	702541	543050	572086	653288	622073	685341	781652	893524	1104294	1034707	1230111	1025232	1233654
AR	499614	268753	398041	403164	338646	534774	349237	466578	505823	337324	475171	325416	422768	472940	469953	572898	422310	638017	394409	647744
CA	3742284	3882244	3083661	4524858	3922519	5467009	4702233	5054917	5121325	3630574	5119835	3828380	5861203	4567429	6745485	5509826	8274473	5011781	7854285	4839958
CO	460353	584367	367973	652264	454974	821818	621453	728177	629681	562850	671152	691848	738227	883748	1001732	1101255	1288633	1073629	1323101	1185243
CT	647895	719261	541732	677210	569597	890877	676584	750241	682318	578313	735740	483109	816015	561094	857488	693826	997772	629428	905083	634892
DE	122596	109831	105754	111252	101656	152190	108647	139639	126054	102313	140355	99062	180068	137288	200152	171660	255459	152374	242584	165484
DC	137818	27873	130231	23313	180408	29009	159407	27590	192619	20698	158220	17339	171923	18073	202970	21256	245800	17367	267070	21381
FL	1636000	1469531	1419475	2046951	1448816	2730350	1656701	2618885	2072698	2173310	2546870	2244536	2912253	2912790	3583544	3964522	4282074	4045624	4237756	4163447
GA	979409	483743	890733	654168	706628	1068722	714792	1081331	1008966	995252	1053849	1080843	1116230	1419720	1366149	1914254	1844123	2048759	1773827	2078688
HI	147375	140003	135879	130112	147154	185050	192364	158625	179310	136822	205012	113943	205286	137845	231708	194191	325871	120566	306658	121015
ID	126549	204151	110192	290699	108510	297523	147272	253881	137013	202645	165443	256595	138637	336937	181098	409235	236440	403012	212787	420911
IL	2271295	2364269	1981413	2358049	2086499	2707103	2215940	2310939	2453350	1734096	2341744	1587021	2589026	2019421	2891550	2345946	3419348	2031179	3019512	2135216
IN	1014714	1183958	844197	1255656	841481	1377230	860643	1297763	848420	989375	887424	1006693	901980	1245836	969011	1479438	1374039	1345648	1152887	1420543
IA	619931	632863	508672	676026	605620	703088	670557	545355	586353	504891	620258	492644	638517	634373	741898	751957	828940	682379	822544	730617
KS	430421	502752	326150	566812	333149	677296	422636	554049	390434	449951	387659	583245	399276	622332	434993	736456	514765	699655	440726	692634
KY	615717	531852	616417	635274	539589	822782	580368	734281	665104	617178	636614	623283	638898	872492	712733	1069439	751985	1048462	679370	1087190
LA	661365	587446	708453	792853	651586	1037299	734281	883702	815971	733386	927837	712586	792344	927871	820299	1102169	782989	1148275	809141	1152262
ME	232279	236320	220974	238522	214515	336500	243569	307131	263420	206504	312788	186378	319951	286616	396842	330201	421923	295273	401306	292276
MD	759612	672661	726161	680606	787935	879918	826304	876167	988571	707094	966207	681530	1145782	813797	1334493	1024703	1629467	959862	1677844	971869
MA	1429475	1030276	1053802	1057631	1239606	1310936	1401406	1194644	1318662	805049	1571763	718107	1616487	878502	1803800	1071109	1904097	1108854	1921290	1188314
